Water System No.,Water System Name,Type,Distribution System Class,Max Treatment Plant Class,Principal County Served,Primary Source Water Type
CA0409187,PG&E - TABLE MOUNTAIN,NTNC,D1,TD,BUTTE  ,GW
CA0409188,"FEDEX FREIGHT, INC. CHI",NTNC,D1,There are no treatment plants,BUTTE  ,GW
CA0409189,DAUTERMAN WELL,NTNC,D1,There are no treatment plants,BUTTE  ,GW
CA0409190,PARADISE ADVENTIST CHURCH,NC,NR,There are no treatment plants,BUTTE  ,GW
CA0409192,DOWN RANGE INDOOR TRAINING CENTER,NC,NR,There are no treatment plants,BUTTE  ,GW
CA0409193,LIBERTY 1ST WARD MEETING HOUSE,NC,NR,There are no treatment plants,BUTTE  ,GW
CA0409194,FEDEX GROUND,NTNC,D1,There are no treatment plants,BUTTE  ,GW
CA0409195,CRAIN PARK WATER SYSTEM,NC,NR,There are no treatment plants,BUTTE  ,GW
CA0409196,PALERMO BIBLE FAMILY CHURCH,NC,NR,There are no treatment plants,BUTTE  ,GW
CA0409197,SIERRA NEVADA BREWING CO.,NTNC,D1,TD,BUTTE  ,GW
CA0410001,CITY OF BIGGS,C,D2,TD,BUTTE  ,GW
CA0410002,CAL-WATER SERVICE CO.-CHICO,C,D5,T2,BUTTE  ,GW
CA0410003,DURHAM IRRIGATION DISTRICT,C,D2,TD,BUTTE  ,GW
CA0410004,CITY OF GRIDLEY,C,D2,T1,BUTTE  ,GW
CA0410005,CAL-WATER SERVICE CO.-OROVILLE,C,D3,T4,BUTTE  ,SW
CA0410006,SOUTH FEATHER W&P - MINERS RANCH,C,D3,T4,BUTTE  ,SW
CA0410007,PARADISE IRRIGATION DISTRICT,C,D3,T5,BUTTE  ,SW
CA0410008,THERMALITO WATER & SEWER DIST,C,D2,T3,BUTTE  ,SW
CA0410009,DEL ORO WATER CO.-MAGALIA,C,D1,T2,BUTTE  ,GW
CA0410011,DEL ORO WATER CO.-PARADISE PINES,C,D3,TD,BUTTE  ,SWP
CA0410012,SOUTH FEATHER W&P - BANGOR,C,D1,T4,BUTTE  ,SW
CA0410018,DEL ORO WATER CO.-STIRLING BLUFFS,C,D1,T2,BUTTE  ,SW
CA0500003,U.S. ARMY CORP NEW HOGAN,NC,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500007,DREAM MOUNTAIN CHRISTIAN CAMP INC.,NC,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500009,UNITED PARCEL SERVICE,NC,TD,There are no treatment plants,CALAVERAS  ,GW
CA0500016,COTTAGE SPRINGS WATER CO.,NC,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500019,MINERAL MOUNTAIN MUTUAL WATER,C,D1,There are no treatment plants,CALAVERAS  ,GW
CA0500021,SKY HIGH RANCH HOA,NC,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500022,CAMP MENZIES,NC,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500023,TAMARACK CABIN OWNERS ASSN,NC,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500026,CAMP LODESTAR,NC,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500027,LILI VALLEY WATER CO.,C,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500028,SHERMAN ACRES MUTUAL WATER ASN,NC,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500029,TAMARACK SPRINGS MUTUAL WATER,NC,NR,There are no treatment plants,CALAVERAS  ,GU
CA0500032,NEW MELONES LAKE MARINA,NC,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500039,TOYON PARK WATER SYSTEM LLC,NTNC,D1,There are no treatment plants,CALAVERAS  ,GW
CA0500043,STANISLAUS RIVER CAMPGROUND,NC,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500044,BIG MEADOWS CAMPGROUND,NC,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500050,SALT SPRINGS VALLEY RES. & CAMPGRND,NC,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500053,PARDEE CENTER,NTNC,D1,T2,CALAVERAS  ,SW
CA0500055,CAMP WOLFEBORO,NC,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500057,CALIFORNIA CAVERNS,NC,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500068,DUNROVIN MOBILE HOME VILLAGE,C,TD,There are no treatment plants,CALAVERAS  ,GW
CA0500069,EL TORERO RESTAURANT,NC,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500075,LAKESIDE MOBILE ESTATES,C,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500082,ANGELS CAMP RV/CAMPING RESORT,C,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500084,MORNING STAR OUTREACH,NC,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500085,TOYON MIDDLE SCHOOL,NTNC,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500088,MOANING CAVERN,NC,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500090,AMERICAN LEGION POST #376,NC,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500091,RITE OF PASSAGE/SIERRA RIDGE,C,TD,T2,CALAVERAS  ,SW
CA0500095,FOOTHILL COMMUNITY CHURCH,NTNC,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500097,CUSD DISTRICT OFFICE,NTNC,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500099,CHANGING ECHOES,NC,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500102,GLORY HOLE RECREATION AREA,NC,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500103,STONE CORRAL COMMUNITY CHURCH,NC,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500104,BURSON FULL GOSPEL CHURCH,NC,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500105,"OAKENDELL, INC.",NC,NR,There are no treatment plants,CALAVERAS  ,GW
CA0500106,MOUNTAIN RANCH WATER SYSTEM,NC,NR,There are no treatment plants,CALAVERAS  ,GW
