Water System No.,Water System Name,Type,Distribution System Class,Max Treatment Plant Class,Principal County Served,Primary Source Water Type
CA0500107,"MACT HEALTH BOARD, INC.",NC,NR,There are no treatment plants,CALAVERAS  ,GW
CA0510001,UNION PUBLIC UTILITY DISTRICT,C,D2,T3,CALAVERAS  ,SW
CA0510002,CALAVERAS PUD,C,D3,T3,CALAVERAS  ,SW
CA0510003,"ANGELS, CITY OF",C,D2,T3,CALAVERAS  ,SW
CA0510004,CCWD - SHEEP RANCH,C,D1,T2,CALAVERAS  ,SW
CA0510005,CCWD - WEST POINT,C,D2,T3,CALAVERAS  ,SW
CA0510006,CCWD - JENNY LIND,C,D4,T4,CALAVERAS  ,SW
CA0510009,BLUE LAKE SPRINGS MUT WTR,C,D2,T2,CALAVERAS  ,SWP
CA0510010,VALLEY SPRINGS PUD,C,D1,TD,CALAVERAS  ,GW
CA0510011,SNOWSHOE SPRINGS ASSN.,C,D1,There are no treatment plants,CALAVERAS  ,SWP
CA0510012,CAMANCHE SOUTH SHORE-EBMUD,C,D2,T2,CALAVERAS  ,SW
CA0510016,CCWD - EBBETTS PASS,C,D4,T3,CALAVERAS  ,SW
CA0510017,CCWD - COPPER COVE,C,D3,T3,CALAVERAS  ,SW
CA0510019,CCWD - WALLACE,C,D1,T2,CALAVERAS  ,GW
CA0590003,"ANGELS, CITY OF",NP,,There are no treatment plants,CALAVERAS  ,
CA0590006,CALAVERAS COUNTY WATER DISTRICT-JENNY L,NP,,There are no treatment plants,CALAVERAS  ,
CA0590016,CCWD-FOREST MEADOWS RECYCLING FACILITY,NP,,There are no treatment plants,CALAVERAS  ,
CA0590017,CALAVERAS COUNTY WATER DISTRICT-COPPER C,NP,,There are no treatment plants,CALAVERAS  ,
CA0590901,MURPHYS SANITARY DISTRICT,NP,,There are no treatment plants,CALAVERAS  ,
CA0600001,WARD'S BOAT LANDING,NC,NR,There are no treatment plants,COLUSA  ,GW
CA0600003,GRIMES BOAT AND LANDING,NC,NR,There are no treatment plants,COLUSA  ,GW
CA0600005,COLUSA CO. SERVICE AREA #2-STONYFORD,C,D1,T2,COLUSA  ,GW
CA0600008,COLUSA CO. WWD #1 - GRIMES,C,D1,TD,COLUSA  ,GW
CA0600009,COLUSA LANDING,NC,NR,There are no treatment plants,COLUSA  ,GW
CA0600012,COLUSA CO. SERVICE AREA #1-CENTURY RANCH,C,D1,T2,COLUSA  ,SW
CA0600013,COLUSA CO. WWD #2 - PRINCETON,C,D1,TD,COLUSA  ,GW
CA0600016,WILBUR HOT SPRINGS,NC,NR,There are no treatment plants,COLUSA  ,GW
CA0600027,TERHEL FARMS TRAILER PARK 01,NC,NR,There are no treatment plants,COLUSA  ,GW
CA0600032,WILDERNESS UNLIMITED,NC,NR,There are no treatment plants,COLUSA  ,GW
CA0600033,WILLOW CREEK M.W.C.-LAMBERTVILLE,NC,NR,There are no treatment plants,COLUSA  ,GW
CA0600042,ARBUCKLE GOLF CLUB,NC,NR,There are no treatment plants,COLUSA  ,GW
CA0600050,CALTRANS-MAXWELL RESTSTOPS,NC,NR,There are no treatment plants,COLUSA  ,GW
CA0600056,MENF-LETTS LAKE CG,NC,NR,There are no treatment plants,COLUSA  ,GW
CA0600065,COLUSA INDUSTRIAL PROPERTIES,NTNC,D1,TD,COLUSA  ,GW
CA0600076,MENF-FOUTS SPRINGS CG,NC,NR,T2,COLUSA  ,GW
CA0605002,MORNING STAR PKG. CO.-WMS.,NTNC,D1,TD,COLUSA  ,GW
CA0605004,ADM RICE INC.,NTNC,D1,T2,COLUSA  ,GW
CA0605005,KINGDOM HALL OF JEHOVAH'S WITNESS-WMS,NC,NR,There are no treatment plants,COLUSA  ,GW
CA0605006,RICHMOND HUNTING CLUB-MAXWELL,NC,NR,There are no treatment plants,COLUSA  ,GW
CA0605007,SUN VALLEY RICE COMPANY,NTNC,D1,There are no treatment plants,COLUSA  ,GW
CA0605011,DEL ORO WC - ARBUCKLE DISTRICT,C,D1,There are no treatment plants,COLUSA  ,GW
CA0605012,ADAM'S VEGETABLE OILS,NTNC,D1,There are no treatment plants,COLUSA  ,GW
CA0605013,T&P FARMS,NC,NR,There are no treatment plants,COLUSA  ,GW
CA0605015,TERHEL FARMS TRAILER PARK 02,NC,D1,There are no treatment plants,COLUSA  ,GW
CA0610001,ARBUCKLE PUBLIC UTILITY DISTRICT,C,D2,TD,COLUSA  ,GW
CA0610002,CITY OF COLUSA,C,D2,TD,COLUSA  ,GW
CA0610003,MAXWELL PUBLIC UTILITY DISTRICT,C,D1,TD,COLUSA  ,GW
CA0610004,CITY OF WILLIAMS,C,D2,T1,COLUSA  ,GW
CA0690002,CITY OF COLUSA RECYCLED WATER,NP,,There are no treatment plants,COLUSA  ,
CA0701706,LOS VAQUEROS MARINA BLDG,NC,D1,T2,CONTRA COSTA  ,SW
CA0701707,LOS VAQUEROS INTERPRETIVE CENTER,NC,D1,T2,CONTRA COSTA  ,SW
CA0706004,OAKLEY MUTUAL WATER COMPANY,C,D1,TD,CONTRA COSTA  ,GW
CA0706005,FARRAR PARK PROPERTY OWNERS,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0706015,DELTA WAVES,NC,NR,There are no treatment plants,CONTRA COSTA  ,GW
CA0706018,CRUISER HAVEN MARINA,NC,NR,There are no treatment plants,CONTRA COSTA  ,GW
CA0706022,BYRON UNITED METHODIST,NC,NR,There are no treatment plants,CONTRA COSTA  ,GW
CA0706028,KNIGHTSEN ELEMENTARY SCHOOL,NTNC,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0706029,EXCELSIOR MIDDLE SCHOOL,NTNC,D1,TD,CONTRA COSTA  ,GW
CA0706030,NEW LIFE MARINA,NC,NR,There are no treatment plants,CONTRA COSTA  ,GW
CA0706031,COUNTRY JUNCTION DELI,NC,NR,There are no treatment plants,CONTRA COSTA  ,GW
CA0706032,BETHEL MISSIONARY BAPTIST,NC,NR,T1,CONTRA COSTA  ,GW
CA0706034,HOLLAND RIVERSIDE MARINA,NC,NR,There are no treatment plants,CONTRA COSTA  ,GW
CA0706037,BETHEL BAPTIST CHURCH,NC,NR,There are no treatment plants,CONTRA COSTA  ,GW
CA0706045,WAHL FAMILY WATER SYSTEM,NC,NR,There are no treatment plants,CONTRA COSTA  ,GW
CA0706049,ALOHA CLUB,NC,NR,There are no treatment plants,CONTRA COSTA  ,GW
CA0706050,WILLOW PASS BUSSINESS PARK WATER SYSTEM,NTNC,D1,TD,CONTRA COSTA  ,GW
CA0706054,BETHEL MARKET,NC,NR,There are no treatment plants,CONTRA COSTA  ,GW
CA0706056,DELTA SPORTSMAN,NC,NR,There are no treatment plants,CONTRA COSTA  ,GW
CA0706059,GAS N SAVE,NC,NR,There are no treatment plants,CONTRA COSTA  ,GW
CA0706102,BAY STANDARDS,NTNC,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0706110,BYRON AIRPORT,NC,NR,There are no treatment plants,CONTRA COSTA  ,GW
CA0706111,EBRPD LITTLE HILLS,NC,D1,TD,CONTRA COSTA  ,GW
CA0706112,EBRPD ROUND VALLEY WATER SYSTEM,NC,D1,TD,CONTRA COSTA  ,GW
CA0707501,ANGLER S RANCH #3,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707502,EBRPD BLACK DIAMOND MINES,NC,D1,TD,CONTRA COSTA  ,GW
CA0707503,BETHEL HARBOR,NC,NR,There are no treatment plants,CONTRA COSTA  ,GW
CA0707507,WILLOW PARK MARINA,C,D1,TD,CONTRA COSTA  ,GW
CA0707509,DELTA BAR AND GRILL,NC,NR,There are no treatment plants,CONTRA COSTA  ,GW
CA0707517,COLONIA SANTA MARIA,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707519,DUTCH SLOUGH WATER WORKS,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707521,BYRON CORNERS INC,NC,NR,T1,CONTRA COSTA  ,GW
CA0707523,BETHEL ISLAND ESTATES,C,D1,TD,CONTRA COSTA  ,GW
CA0707532,MCAVOY YACHT HARBOR,NC,NR,There are no treatment plants,CONTRA COSTA  ,GW
CA0707534,BRENTWOOD MARINA,NC,NR,There are no treatment plants,CONTRA COSTA  ,GW
CA0707542,CONCORD MT DIABLO TRAILRIDE ASSOC.,NC,D1,TD,CONTRA COSTA  ,GW
CA0707545,ORWOOD RESORT,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707547,KNIGHTSEN COMMUNITY WATER SYSTEM,C,D1,TD,CONTRA COSTA  ,GW
CA0707550,SUNSET MARINA,NC,NR,There are no treatment plants,CONTRA COSTA  ,GW
CA0707553,RIVERVIEW MOBILE HOMES,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707556,SANDMOUND MUTUAL,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707564,MARIN FOOD SPECIALTIES,NC,D1,T1,CONTRA COSTA  ,GW
CA0707568,MACS OLD HOUSE,NC,NR,T1,CONTRA COSTA  ,GW
CA0707569,ANGLERS SUBDIVISION 4,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707570,BRIDGEHEAD CAFE,NC,NR,T1,CONTRA COSTA  ,GW
CA0707572,BETHEL ISLAND MUTUAL WATER CO,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707573,DELTA MUTUAL WATER COMPANY,C,D1,TD,CONTRA COSTA  ,GW
CA0707575,BETHEL ISLAND MHC,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707576,PLEASANTIMES MUTUAL WATER CO,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707577,RIVERVIEW WATER ASSOCIATION,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707585,MORAGA HEIGHTS MUTUAL WATER,C,D1,T1,CONTRA COSTA  ,GW
CA0707588,BIG OAK MOBILE HOME PARK WATER,C,D1,TD,CONTRA COSTA  ,GW
CA0707589,BELLA VISTA WATER SYS,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707592,SUGAR BARGE MARINA,NC,NR,There are no treatment plants,CONTRA COSTA  ,GW
CA0707594,CASA MEDANOS WATER SYSTEM,C,D1,TD,CONTRA COSTA  ,GW
CA0707595,BYRON INN,NC,NR,There are no treatment plants,CONTRA COSTA  ,GW
CA0707597,SANDY POINT MOBILE HOME PARK,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707598,CAMINO MOBILEHOME,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707601,RUSSOS MOBILE PARK,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707603,CLAYTON PALMS WATER,C,D1,There are no treatment plants,CONTRA COSTA  ,SWP
CA0707608,MARINA MOBILE MANOR,C,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707613,WILLOW MOBILE HOME PARK,C,D1,TD,CONTRA COSTA  ,GW
CA0707615,DOUBLETREE RANCH WATER SYSTEM,C,D1,T1,CONTRA COSTA  ,GW
CA0707617,WILDWOOD ACRES RESORT,NC,NR,There are no treatment plants,CONTRA COSTA  ,GW
CA0707620,CANYON SCHOOL,NTNC,D1,T1,CONTRA COSTA  ,GW
CA0707623,WILCOX STATION RANCH,C,D1,TD,CONTRA COSTA  ,GW
CA0707625,MARATHON MARTINEZ WATER SYSTEM,NTNC,D1,There are no treatment plants,CONTRA COSTA  ,GW
CA0707630,WILLOWEST MARINA WS,NC,NR,There are no treatment plants,CONTRA COSTA  ,GW
CA0707639,OLD BORGES RANCH WATER SYS,NC,NR,There are no treatment plants,CONTRA COSTA  ,GW
CA0707643,EBRPD OLD BRIONES REGIONAL PARK,NC,D1,TD,CONTRA COSTA  ,GW
CA0707644,EBRPD ALHAMBRA,NC,D1,TD,CONTRA COSTA  ,GW
CA0707800,ALL STAR ACADEMY OF DANVILLE,NC,NR,There are no treatment plants,CONTRA COSTA  ,GW
CA0707900,EBRPD MORGAN TERRITORY,NC,D1,TD,CONTRA COSTA  ,GW
CA0707901,BRUNS MEMORIAL AMPHITHEATER,NC,NR,There are no treatment plants,CONTRA COSTA  ,SWP
CA0707915,TESS FARM MARKET,NC,NR,There are no treatment plants,CONTRA COSTA  ,GW
CA0708000,EBRPD BAY POINT REGIONAL SHORELINE,NC,NR,There are no treatment plants,CONTRA COSTA  ,GW
CA0710001,CITY OF ANTIOCH,C,D4,T5,CONTRA COSTA  ,SW
CA0710002,GOLDEN STATE WATER COMPANY - BAY POINT,C,D3,T1,CONTRA COSTA  ,SWP
CA0710003,CONTRA COSTA WATER DISTRICT,C,D5,T5,CONTRA COSTA  ,SW
CA0710004,BRENTWOOD,C,D5,TD,CONTRA COSTA  ,SWP
CA0710006,CITY OF MARTINEZ,C,D3,T5,CONTRA COSTA  ,SWP
CA0710007,DIABLO WATER DISTRICT,C,D3,T2,CONTRA COSTA  ,SWP
CA0710008,CITY OF PITTSBURG,C,D4,T5,CONTRA COSTA  ,SWP
CA0710009,TOWN OF DISCOVERY BAY,C,D3,T2,CONTRA COSTA  ,GW
CA0710010,RANDALL-BOLD WATER TREATMENT PLANT,C,NR,T5,CONTRA COSTA  ,SWP
CA0710011,CCWD/BRENTWOOD WTP,C,NR,T5,CONTRA COSTA  ,SWP
CA0710300,MOUNT DIABLO STATE PARK,NC,NR,Operator is not required,CONTRA COSTA  ,GW
CA0710800,DWR DELTA FIELD DIVISION - BANKS PP,NTNC,D1,T2,CONTRA COSTA  ,SW
CA0790001,EBMUD,NP,,There are no treatment plants,CONTRA COSTA  ,
CA0790002,CENTRAL CONTRA COSTA SANITARY DISTRICT,NP,,There are no treatment plants,CONTRA COSTA  ,
CA0790003,LAMORINDA RECYCLED WATER PROJECT,NP,,There are no treatment plants,CONTRA COSTA  ,
CA0790004,DDSD RECYCLING PROJECT,NP,,There are no treatment plants,CONTRA COSTA  ,
CA0790005,CITY OF BRENTWOOD RECYCLING PROJECT,NP,,There are no treatment plants,CONTRA COSTA  ,
CA0790006,IRONHOUSE SD WATER RECYCLING FACILITY,NP,,There are no treatment plants,CONTRA COSTA  ,
CA0790007,MT. VIEW SANITARY DISTRICT,NP,,There are no treatment plants,CONTRA COSTA  ,
CA0790009,TOWN OF DISCOVERY BAY,NP,,There are no treatment plants,CONTRA COSTA  ,
CA0800526,REDWOOD PARK C.S.D.,C,D1,TD,DEL NORTE  ,GW
CA0800532,BIG ROCK C.S.D.,C,D1,T1,DEL NORTE  ,GW
CA0800542,CRESCENT BEACH MOTEL,NC,NR,T1,DEL NORTE  ,GW
CA0800548,KLAMATH C.S.D.,C,D1,There are no treatment plants,DEL NORTE  ,GW
CA0800552,NORTHCREST TRAILER CITY,C,D1,TD,DEL NORTE  ,GW
CA0800555,GASQUET C.S.D.,C,D1,T2,DEL NORTE  ,SW
CA0800556,HRC C.S.D.,C,D1,TD,DEL NORTE  ,GW
CA0800557,HUNTER VALLEY CSD,C,D1,There are no treatment plants,DEL NORTE  ,GW
CA0800603,BUTTE COURT MOBILE HOME PARK,C,D1,TD,DEL NORTE  ,GW
CA0800605,WEST PARK PROPERTIES,C,D1,TD,DEL NORTE  ,GW
CA0800608,TREES OF MYSTERY,NC,NR,TD,DEL NORTE  ,GW
CA0800613,CRIVELLI'S WATER SYSTEM,NC,NR,TD,DEL NORTE  ,GW
CA0800615,KLAMATH CAMPER CORRAL,NC,NR,There are no treatment plants,DEL NORTE  ,GW
CA0800622,CHINOOK WATER SYSTEM,NC,NR,There are no treatment plants,DEL NORTE  ,GW
CA0800627,GOLDEN BEAR RV PARK,NC,NR,There are no treatment plants,DEL NORTE  ,GW
CA0800632,KLAMATH RIVER RV PARK,NC,NR,TD,DEL NORTE  ,GW
CA0800635,KAMP KLAMATH CORP.,NC,NR,There are no treatment plants,DEL NORTE  ,GW
CA0800647,REDWOOD MAINT. & OPER.,NTNC,D1,TD,DEL NORTE  ,GW
CA0800649,MARGARET KEATING MAIN. & OPER.,NTNC,D1,TD,DEL NORTE  ,GW
CA0800661,CALTRANS-COLLIER TUNNEL RS,NC,NR,TD,DEL NORTE  ,GW
CA0800700,LAS PALMAS MOBILE HOME PARK,C,D1,TD,DEL NORTE  ,GW
CA0800800,PINE GROVE TRAILER PARK,C,D1,TD,DEL NORTE  ,GW
CA0800825,JED SMITH HOMEOWNERS ASSN.,C,D1,TD,DEL NORTE  ,GW
CA0800850,SEA WEST RESTAURANT,NC,NR,TD,DEL NORTE  ,GW
CA0800861,RESERVATION RANCH,C,D1,TD,DEL NORTE  ,GW
CA0810001,CITY OF CRESCENT CITY,C,D3,T1,DEL NORTE  ,GW
CA0810002,SMITH RIVER C.S.D.,C,D2,TD,DEL NORTE  ,GW
CA0810003,BERTSCH OCEAN VIEW CSD,C,D2,There are no treatment plants,DEL NORTE  ,GWP
CA0810300,DEL NORTE COAST STATE PARK,NC,NR,TD,DEL NORTE  ,SW
CA0810303,JEDEDIAH SMITH STATE PARK,NC,NR,TD,DEL NORTE  ,GW
CA0810500,LAGOON CREEK-REDWOOD NP,NC,NR,TD,DEL NORTE  ,GW
CA0810800,CALFIRE-ALDER CONSERVATION CAMP,NTNC,D1,T2,DEL NORTE  ,GU
CA0890001,CITY OF CRESCENT CITY - RW,NP,,There are no treatment plants,DEL NORTE  ,
CA0900100,CAMP FLEMING LODGE,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900102,GOLD BEACH PARK,C,D1,T2,EL DORADO  ,GW
CA0900103,SILVERFORK STORE WATER SYSTEM,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900104,PIONEER BIBLE CHURCH,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900105,SOMERSET HOUSE WATER SYSTEM,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900107,GRAY'S MART AND GAS,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900109,DRU BARNER CAMPGROUND,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900111,PIONEER  ELEMENTARY SCHOOL,NTNC,D1,There are no treatment plants,EL DORADO  ,GW
CA0900112,CANDLELIGHT VILLAGE MUTUAL WATER CO.,C,NR,There are no treatment plants,EL DORADO  ,GW
CA0900113,LEONI MEADOWS CAMP,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900116,MOTHER LODE WATER SYSTEM,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900118,GRIZZLY FLAT WATER SYSTEM,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900120,SCIOTS TRACT WATER SYSTEM,NC,D1,T2,EL DORADO  ,SW
CA0900121,WEST POINT CAMPGROUND,NC,,There are no treatment plants,EL DORADO  ,GW
CA0900122,SOMERSET DOLLAR GENERAL,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900204,NUGGET CAMPGROUND,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900205,CAMP LOTUS WATER SYSTEM,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900206,CAMP CHIQUITA CAMPGROUND,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900208,PIPI CAMPGROUND WATER SYSTEM,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900210,MILLERS HILL SCHOOL,NTNC,NR,T3,EL DORADO  ,GW
CA0900212,HENNINGSEN LOTUS PARK WATER SYSTEM,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900213,PIONEER PARK WATER SYSTEM,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900214,WOLF CREEK CAMPGROUND,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900216,THE PUB WATER SYSTEM,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900219,ALL OUTDOORS ADVENTURE TRIPS,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900300,KYBURZ MUTUAL WATER COMPANY,C,D2,T2,EL DORADO  ,SW
CA0900301,SILVERFORK MUTUAL WATER,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900303,SILVERFORK WATER ASSOCIATION,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900304,SILVERFORK SCHOOL,NTNC,D1,There are no treatment plants,EL DORADO  ,GW
CA0900306,FORWARD BIBLE CONFERENCE,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900307,OLSON TRACT WATER ASSOCIATION,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900308,QUINTETTE SERVICE CORP WATER,C,D1,T2,EL DORADO  ,GW
CA0900309,MOUNTAIN CREEK SCHOOL,NTNC,NR,T1,EL DORADO  ,GW
CA0900311,MOUNTAIN CAMP II,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900314,ICE HOUSE RESORT,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900316,SMUD POWERPINES CAMP,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900317,LAKE CHIQUITA MUTUAL WATER COMPANY,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900319,MT AUKUM SQUARE,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900401,CAMP FLEMING CAMPGROUND,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900404,"OAKLANE MOBILE VILLAGE, LLC.",C,D2,There are no treatment plants,EL DORADO  ,GW
CA0900410,LATROBE ELEMENTARY SCHOOL,NTNC,D2,T3,EL DORADO  ,GW
CA0900411,LOTUS PUB,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900419,KIOTA DIGGINGS WATER SYSTEM,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900420,ROBBS RESORT,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900422,CRYSTAL CAVES MHP,C,NR,There are no treatment plants,EL DORADO  ,GW
CA0900423,"O.A.R.S., INC  #70",NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900502,PYRAMID CREEK TRAILHEAD,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900505,CAMP SHELLY,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900506,SPRING CREEK TRACT ASSOCIATION,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900507,STANFORD SIERRA CAMP,NC,NR,T2,EL DORADO  ,SW
CA0900511,CATHEDRAL WATER ASSOCIATION,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900515,ANGORA LAKES RESORT,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900516,CAMP SACRAMENTO,NC,NR,T2,EL DORADO  ,SW
CA0900523,CASCADE MUTUAL WATER COMPANY,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900525,ECHO ROAD GROUP WATER ASSOC,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900529,STATION HOUSE INN,NTNC,D1,There are no treatment plants,EL DORADO  ,GW
CA0900535,PINEWOOD INN,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900536,ECONO LODGE INN AND SUITES,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900549,TAMARACK PARK HOMEOWNERS ASSOC,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900551,ALDER INN TAHOE,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900553,BEVERLY LODGE,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900554,THE TRAILHEAD,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900560,FLL MUTUAL,NC,NR,T2,EL DORADO  ,GW
CA0900562,HEATHER LAKE ROAD TRACT,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900564,KING'S IV CONDOMINIUMS,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900565,TAHOE VALLEY LODGE,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900576,ALPINE INN & SPA,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900582,THE JEFFREY HOTEL,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900585,GINGER MOUNTAIN LODGE,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900587,HEAVENLY SKI SKY DECK,NC,D2,There are no treatment plants,EL DORADO  ,GW
CA0900591,NORTH ECHO SUMMIT WATER ASSOCIATION,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900592,BLACK BEAR LODGE,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900603,ECHO PEAK WATER ASSOCIATION,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900618,BRYANT CREEK/FIR TRACTS MWA,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900623,TAHOE TRAVEL INN,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900624,VILLA TAHOE CONDOMINIUMS,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900629,AMERICAN LEGION TRACT RESORT ASSOC,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900631,CAMP CONCORD,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900641,FALLEN LEAF MUTUAL WATER CO,NC,NR,T2,EL DORADO  ,SW
CA0900643,MT RALSTON PROPERTIES ASSC INC,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900649,SOUTH SHORE RECREATION AREA,NTNC,D1,There are no treatment plants,EL DORADO  ,GW
CA0900650,ECHO LAKE CAMP,NC,NR,T2,EL DORADO  ,SW
CA0900651,SIERRA PINES CAMP,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900652,ECHO CHALET INC,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900654,BALDWIN BEACH,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900656,RAINBOW TRACT WATER ASSOC,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900658,SIERRA TAHOE GRANDVIEW,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0900659,SIERRA TAHOE MAIN LODGE,NTNC,D1,T1,EL DORADO  ,GW
CA0900660,HEAVENLY SKI CREEK STATION,NTNC,D1,There are no treatment plants,EL DORADO  ,GW
CA0900664,SIERRA TAHOE WEST BOWL,NC,D1,There are no treatment plants,EL DORADO  ,GW
CA0900665,HEAVENLY SKI GONDOLA,NC,D2,There are no treatment plants,EL DORADO  ,GW
CA0901217,BEAR STATE WATER WORKS,C,D1,T5,EL DORADO  ,GW
CA0901219,CAPPS CROSSING CAMPGROUND,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0901222,CHINA FLAT CAMPGROUND,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0901223,CLEVELAND CORRAL REST AREA,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0901228,GERLE CREEK CAMPGROUND,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0901229,ICE HOUSE CAMPGROUND,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0901230,LOON LAKE CAMPGROUND,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0901232,RED FIR GROUP CAMPGROUND,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0901239,SAND FLAT CAMPGROUND,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0901243,SILVERFORK CAMPGROUND,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0901244,STUMPY MEADOWS CAMPGROUND,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0901246,PENINSULA RECREATION AREA,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0901247,YELLOW JACKET CAMPGROUND,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0901248,WRIGHTS LAKE CAMPGROUND,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0901249,WENCH CREEK CAMPGROUND,NC,NR,There are no treatment plants,EL DORADO  ,GW
CA0901250,GERLE CREEK SUMMER HOMES,NC,NR,There are no treatment plants,EL DORADO  ,GW
